Length(cm),Mass(g)
16.28,127.8728802
14.05,135.2719282
14.78,148.3700038
15.43,149.1961287
13.63,146.4695794
13.64,113.2640973
12.95,130.4932299
16.22,151.8898186
17.54,184.7779807
12.29,114.2778165
13.5,132.7236862
11.57,107.2058959
15.47,142.6724812
12.23,125.4935988
14.25,132.7809286
15.93,134.1594586
10.18,109.6257719
9.16,92.99193085
15.77,167.5560189
11.21,98.59669091
18.12,155.6777905
16.01,150.6403833
16.96,186.9237744
14.97,153.2182554
13.42,132.4259042
12.67,128.5766342
15,154.9499398
14.85,146.7570166
13.9,155.0014607
15.38,156.9235265
13.15,129.3535483
10.51,93.539569
14.05,150.7303573
13.05,137.5768253
12.5,133.1321846
16.25,151.0400642
18.13,156.7846549
14.31,144.4541433
13.46,149.0968884
14.2,193.1359563
11.75,128.7290014
16.02,144.2358892
16.13,169.8667281
15.1,147.3619455
14.32,130.4282683
17.84,168.8911424
13.71,129.9221693
13.73,131.5337502
14.25,124.813175
15.92,140.4601468
14.92,172.9824735
14.21,173.6461437
12.48,100.380931
12.63,120.5427416
16.58,160.2972235
12.33,116.5785265
15.13,160.768321
14.68,151.8473087
13.23,119.5173657
17.51,163.247877
11.19,112.4075578
15.02,138.3554422
16.99,197.214226
11.58,109.0537311
12.86,121.9456008
15.34,161.4445247
15.63,138.4732082
14.87,164.4751214
13.68,144.3807275
15.41,133.386034
12.21,140.1576272
13.25,143.0742481
13.51,146.1825055
11.25,106.9202839
11.1,118.3614358
14.1,114.463956
13.93,154.5146239
12.58,131.4110048
12.17,122.1411892
15.4,145.6766088
13.25,112.2733411
11.72,125.4233056
15.44,135.5489646
14.8,137.1222032
10.99,124.2469599
15.36,148.3649016
15.86,163.144193
14.51,147.1657574
14.1,152.944371
10.58,117.1326699
11.46,124.258658
13.8,147.5200268
12.39,122.0269217
16.23,147.5026544
14.97,153.9601372
11.95,116.0847343
18.66,198.0649323
13.37,150.9845455
17.94,180.3320645
12.05,116.6884332
13.66,114.7839737
15.15,165.3442798
16.14,168.8199168
13.85,145.5807247
11.44,108.2544334
15.52,150.3004756
12.31,123.9653902
12.25,142.2533571
16.01,178.9077195
15.4,147.6573987
10.94,114.6896753
10.42,110.0376359
14.82,143.8597605
15.3,140.2075044
14.3,140.5830071
12.48,122.1376086
15.14,163.4516218
14.52,112.6163431
11.25,118.1005265
15.12,145.0526677
16.76,157.4912059
11.77,123.6836977
10.02,105.9528077
16.96,163.0980783
