Length(cm),Mass(g)
14.02,108.5460905
14.1,123.5960752
16.25,155.9161057
16.36,137.2269993
14.57,129.066968
13.73,119.0199638
16.11,127.3900338
17.82,149.8718014
14,127.0587415
10.76,95.86063737
16.01,147.1317128
11.6,104.3670648
10.89,110.4335276
13.37,104.1484247
13.65,125.2360096
15.9,129.9589663
12.52,124.2938254
12.09,126.0864645
10.81,119.48497
15.77,130.1807868
11.85,116.3693422
10.17,96.22843323
18.04,176.3629555
14.16,104.4456825
14.53,124.8168244
13.9,150.5760264
12.79,118.3476752
9.9,84.72259196
11.19,98.77775945
15.82,151.8714162
12.91,105.5105971
13.95,140.9493618
9.25,82.89737117
14.45,156.865565
19.51,166.1799518
13.48,122.7262746
16.59,177.0872337
11.65,100.8151915
14.41,151.1639416
13.57,114.0911185
14.46,131.1345303
11.4,92.93933386
15.86,138.5017096
14.29,132.2797984
13.29,121.1952467
14.82,127.7092268
13.07,109.8829324
16.86,151.7886971
13.42,147.5387737
13.91,124.4457096
14.88,118.1564978
15.08,123.610509
13.23,107.8565733
14.99,136.1635041
13.61,130.6539531
16.28,151.0314611
15.87,131.5312279
13.88,129.5436853
15.67,132.3962912
15.69,140.9222536
15.97,180.8700571
16.6,182.6473397
11.64,117.8773753
14.21,116.324563
15.98,132.1440014
13.74,115.7008518
13.7,134.898749
15.26,155.0955738
17.38,127.590754
12.44,115.7333173
14.6,140.0226092
13.01,100.444285
12.42,103.528716
14.1,137.0692995
12.35,123.9004242
15.41,129.4781185
14.33,129.832449
17.14,131.2933206
17.47,146.2960139
9.42,96.69613154
13.97,113.5128104
10.81,89.08396186
13.13,124.0464249
16.89,164.1293489
14.63,125.2800305
11.65,98.60158352
18.31,143.1435871
14.58,109.2404963
15.01,153.0585064
15.52,129.2781589
14.17,133.2956664
14.13,127.467668
16.69,145.3383811
12.91,114.5623577
14.57,104.591645
13.17,115.4175782
12.37,105.8143027
16.39,167.127181
14.95,131.3500651
12.93,115.959797
13.62,127.6319999
16.81,165.3766271
15.98,147.5677628
11.73,113.6292391
14.09,142.22445
15.74,126.1969499
14.56,133.1642342
13.23,109.7958004
11.58,102.1939316
12.68,123.0924959
16.48,143.429162
12.62,88.6852718
12.91,116.340692
15.17,133.4063298
9.33,68.94912477
12.1,125.9376452
13.5,127.0266105
13.91,122.1302609
15.4,118.4459398
14.92,125.3188346
14.79,101.7282476
11.89,96.00196213
10.71,105.4396897
14.78,122.6981624
12.37,114.6379066
14.1,117.5069067
13.15,121.9385331
14.81,129.1566164
14.41,124.2426097
15.66,160.3292815
13.74,145.870041
15.53,134.2162642
13.85,103.4000085
19.66,160.4019352
12.4,108.4918657
12.03,94.18714526
13.89,114.5796164
12.11,89.51415436
16.63,151.5039307
12.04,101.5689271
12.11,110.4307193
13.5,123.0691873
13.26,97.80975555
14.74,126.3301821
13.15,113.5333478
13.29,103.433383
12.89,131.6902026
16.04,157.0550334
16.08,151.4556844
12.18,100.1043552
16.93,149.7504671
14.48,133.5149378
12.46,98.2778093
14.62,132.9318315
12.67,104.6704767
16.44,154.5902705
11.25,92.75135119
11.49,85.88283573
16.09,147.0598214
10.88,109.3009029
11.77,79.18215067
14.53,140.8987996
13.71,140.3689374
16.54,135.4900837
14.8,138.345072
10.96,87.44066305
13.62,117.3348629
11.51,98.37789791
18.46,156.2286174
10.94,124.410256
16.38,151.5181195
14.24,106.9771919
16.28,165.9733246
11.83,109.1378995
12.24,127.4982973
15.42,122.4874848
13.79,96.9843878
13.75,114.0603401
17.1,133.2004779
12.5,101.7431327
12.78,102.2999772
11.8,86.49025746
14.72,103.9109711
13.46,115.0418033
15.3,126.2049975
11.94,114.9308951
12.98,108.3004786
13.94,126.6037508
18.11,174.5540934
14.04,132.4418033
16.9,159.2273169
12.29,110.0757206
8.95,79.58205473
17.81,171.7835912
17.32,133.3643328
15.82,152.5265631
16.33,154.187701
16.59,173.8339528
11.68,120.942234
14.69,125.6956053
13.85,145.7122419
16.14,154.9753653
7.88,69.02057268
16.3,166.962348
15.91,159.1479767
12.99,103.0425074
13.79,159.0573358
13.15,97.6926139
13.46,114.481881
15.52,110.4480406
13.42,134.5605818
16.05,150.8430013
14.22,118.8723202
15.61,118.2932296
16.14,138.2781777
13.83,116.2634914
13.4,105.9813859
11.6,128.0674625
13.39,96.19081967
14.16,114.9659433
16.21,163.1998384
11.98,99.27521825
12.82,120.7647559
13.37,120.7097981
12.63,110.0519365
13.46,98.72174046
13.43,111.8256767
17.03,134.8222076
14.65,119.7506134
12.6,123.7143676
15.86,159.3184618
13.35,107.3024743
15.89,131.4601271
11.22,104.0834358
15.09,115.5052945
16.93,139.7811676
13.79,127.5664158
17.08,151.0185647
12.66,86.95675215
12.67,105.5538128
12.47,115.577361
13.86,106.3386495
14.38,145.0196215
12.31,109.9217808
18.18,161.037086
13.22,122.4403256
12.15,100.1651738
10.45,79.09420286
18.55,175.7736288
14.91,140.9511091
15.98,186.8251105
13.93,101.5240477
12.25,90.75455547
14.89,115.1306147
13.48,132.2119162
10.68,101.4045262
12.06,133.3457663
15,136.3989633
18.6,176.8463721
14.84,125.0576803
11.71,101.3826847
11.55,88.74996978
13.51,133.1489142
12.4,112.0005969
19.81,164.2052727
16.57,146.7907173
13.82,116.4046405
14.22,148.9351593
16.49,158.2729367
12.09,101.5936149
17.44,155.8291435
13.44,113.3473291
13.44,120.6510231
15.13,120.6517613
15.02,120.6387965
11.5,92.91673833
9.19,77.7779463
15.32,131.1476236
13.05,136.1138018
12.85,104.8409323
15.88,173.2344552
14.12,136.349382
17.01,157.6951023
14.65,122.4957118
14.94,136.0714881
10.99,101.5124003
15.73,161.9310523
15.24,144.9667171
9.88,96.50908187
12.51,104.9063284
12.01,116.0684473
14.22,135.5109206
14.24,141.7630099
15.73,142.0567902
10.02,87.80804723
14.42,135.1841353
14.81,122.6590657
13.19,132.7086126
12.88,131.6203923
12.6,116.4269436
11.21,110.9130199
12.17,133.0364078
16.45,164.9552359
17.31,168.2960027
16.43,130.8203335
16.16,142.8777735
12.42,105.9556116
11.51,95.4638803
13.3,129.6064055
13.87,134.8133002
16.73,181.6244509
16.92,160.6229517
14.84,123.1344142
14.1,134.6636382
15.11,137.4176352
13.31,119.7930405
14.49,103.9963585
12.77,118.5303988
10.53,123.168315
11.37,103.4004229
13.88,136.1157318
16.26,113.8326105
17.03,145.1614653
13.76,126.7931017
10.24,93.88316983
14.14,145.0368188
17.48,161.8130027
14.6,125.2716267
14.72,138.9462482
15.15,148.4958445
14.4,117.4994646
13.42,131.7205134
13.85,132.0777919
14.23,139.1940429
12.37,114.0170802
15.6,131.455078
13.27,101.4917406
13.48,117.5948905
13.58,119.8380338
18.4,186.8847108
11.38,115.6434986
12.35,111.9073416
17.26,165.4733684
11.75,89.54204168
11.45,93.29250482
11.1,112.8899798
17.52,157.7471343
14.31,149.4608536
14.09,128.3226273
13.95,125.5458963
15.18,128.8319332
13.65,119.7720784
16.25,140.4796606
11.81,126.5364387
17.31,123.3488845
13.84,140.1898522
16.97,155.1931865
10.99,112.5015964
13.8,95.28793838
16.18,140.605635
14.44,103.4975264
