Length(cm),Mass(g)
11.93,115.9358939
12.99,104.8396313
13.99,148.2548683
13.23,95.86722256
16.26,104.4472971
15.79,132.1934904
13.58,103.0248661
11.72,116.6847947
14.92,127.3883315
16.21,165.6394348
14.73,147.7269996
15.6,121.091498
11.05,115.5339419
17.2,186.0203674
13.25,106.8823588
14.28,118.660244
11.62,106.7602933
12.95,106.5816486
14.17,137.0880116
12.93,101.3677679
12.58,118.8486399
12.71,90.51653519
14.13,124.6328548
13.42,132.6500274
13.5,100.9297864
12.79,99.94608536
10.09,89.58793511
16.93,105.8782659
12.12,93.89603322
12.05,67.23978532
13.12,104.1567461
14.45,157.2566498
14.12,103.8174566
14.15,119.8706713
17.2,200.8643122
10.67,122.4035012
13.46,93.37989163
13.4,101.7667278
14.34,145.5379672
18.22,130.700035
12.95,97.63236442
15.4,178.3132845
12.03,106.015732
11.21,94.39574836
13.19,81.28100516
11.71,92.02468594
16.06,123.4337006
12.04,124.7596051
10.97,101.6458632
16.78,172.4470915
18.52,210.1746885
12.7,121.2145096
13.1,133.5701938
13.49,140.774673
17.8,169.8381441
12.7,115.1880152
16.41,172.3375764
12.67,125.0003343
15.79,146.4432286
14.58,128.6757236
14.76,101.9521787
12.64,126.6056951
12.86,110.5726318
15.06,118.845023
12.45,120.6147833
14.03,86.49136756
11.89,101.8434915
16.92,168.7588564
13.93,99.95928971
12.83,148.7815939
12.93,110.4288455
13.4,122.8861443
16.28,155.4140924
15.65,157.8048578
12.81,90.8826516
13.38,90.70084847
14.36,81.39121681
14.12,145.111537
11.6,101.8438158
17.79,185.3043401
14.44,118.1315952
14.25,157.6291374
15.22,65.00159532
15.59,146.1425122
14.95,111.7238281
12.79,102.3839641
13.66,141.218975
16.66,164.4606536
15.97,137.9116452
10.11,98.84783499
15.47,122.6280807
14.11,132.5378808
11.94,108.3415417
13.37,136.871911
15.58,154.6974462
16.1,164.1637978
16.81,97.53840065
12.95,129.5404558
14.68,137.9522928
16.39,155.8741868
13.13,123.0491718
13.29,109.0021994
9.81,91.75047913
12.95,99.96783255
12.85,110.7745154
13.26,113.3663298
16.77,142.3239642
11.66,79.59987002
13.13,98.15854167
11.64,113.6605387
13.92,93.46018109
17.33,128.5727969
16.56,180.2211008
14.19,118.8172958
16.85,167.1719658
15.76,173.2610241
13.46,121.1455667
16.14,128.4698688
12.43,88.44535542
14.88,94.23530137
13.53,131.5248781
14.32,97.16140421
15.38,199.2091084
13.82,127.746179
13.98,119.6994422
12.33,80.31101464
12.8,112.2169528
15.01,98.13549839
13.37,84.60255861
15,119.0619618
15.87,180.2115074
16.49,160.6134447
14.96,176.5592895
13.81,149.3050848
15.33,111.6924737
11.17,118.9222186
11.67,76.00376309
13.16,125.2042688
9.57,85.81754792
12.31,136.0214437
11.7,118.9048073
11.72,132.8276981
12.54,92.34587911
15.09,144.2323448
16.69,139.4551074
13.57,128.3304035
16.33,139.5707015
13.76,92.77249377
14.58,166.1671414
12.63,122.924158
15.32,129.3137172
13.83,97.95757551
13.88,118.9634707
10.32,102.7084155
13.65,84.7573821
13.42,118.5986009
12.71,76.82150801
13.82,143.526752
14.56,123.3561353
12.79,128.828952
14.29,144.9913589
12.11,105.096109
18.51,154.6708784
11.4,132.6221356
14.25,108.7156502
12.53,107.8260421
16.06,160.5427964
14.97,121.2945546
10.85,74.08785666
12.01,94.8320108
15.66,122.5973449
12.78,142.6900201
12.9,132.5062308
8.68,55.60337738
15.45,130.7528225
12.71,121.7553457
17.45,217.0742002
14.3,174.7824233
13.74,137.32462
15.19,150.0487447
16.07,134.0167106
12.9,103.3189882
15.35,120.1733274
12.08,102.4236456
14.59,132.0487593
11.64,96.18099857
12.13,88.05943753
13.09,64.01311539
16.67,171.7519132
17.42,183.670604
8.41,73.61226948
13.76,112.1561862
13.36,115.1920986
15.35,128.7501396
13.7,110.8088601
14.12,129.1758018
10.77,101.338644
13.2,77.26641063
15.03,125.2553904
14.17,126.5872945
15.41,138.2781779
14.88,130.6686963
16.14,144.740519
13.37,126.3202751
12.57,106.2491871
10.04,75.00894395
14.93,131.7083516
12.07,130.7907814
15.24,157.026459
16.04,143.2482955
11.62,124.6896119
10.86,109.3031195
11.48,99.17558223
17.76,163.0120253
15.35,171.8271651
14.36,105.0893606
14.75,111.6074231
12.5,99.38507961
13.47,113.9380808
10.64,109.7877505
14.75,138.0450072
15.43,110.0698238
13.32,93.97859968
13.59,125.6407711
15.31,163.4628211
11.99,119.5573527
12.17,124.5196276
13.86,104.3481499
13.6,142.8439203
16.62,140.2599684
16.97,174.5657199
12.92,111.184724
11.19,114.5838696
14.39,147.5402524
12.83,115.8420682
14.34,106.9710741
14.98,138.6545776
14.84,160.0366831
12.5,90.70089047
12.92,148.1063791
14.97,168.2352219
13.08,106.9236067
15.05,136.986492
13.24,113.1356898
13.87,108.3189942
11.66,112.3459135
17.46,170.6113045
10.66,122.4299439
14.76,118.6827361
14.75,132.892101
12.76,102.5854261
11.19,98.08060272
13.97,99.52885791
11.95,115.2028494
15.56,132.3262573
14.18,115.0797129
12.22,82.83821257
13.93,140.1475065
13.61,98.53102516
15.51,174.6210817
15.67,128.6918923
11.19,95.58720867
11.55,115.6134127
13.03,122.5123383
13.06,101.7347746
10.68,55.85920811
11.92,108.3588914
16.59,168.4899155
13.52,121.6192569
10.52,88.64826394
14,88.50713369
17.32,127.3284314
16.5,141.283017
10.52,87.74199895
18.65,132.414366
11.22,106.4400829
15.58,154.4522446
14.81,155.8558523
14.02,134.8125824
14.03,116.0922896
18.03,95.05566298
15.04,99.16417917
13.03,97.02340051
15.06,88.96266077
15.53,126.2400947
14.2,111.2416506
17.28,171.8815416
14.99,149.3191591
17,182.6659164
15.51,171.4026931
15.86,152.7066042
10.67,98.56650501
13.57,123.6953189
12.97,119.2165533
14.93,139.9393959
13.88,125.8112996
13.39,140.1221962
14.11,115.4085081
14.93,136.9168752
14.78,145.5512706
11.17,96.96417033
11.86,99.02320959
11.6,122.4153897
12.76,115.064995
13.29,83.6043084
11.92,105.6213505
12.39,128.2763725
17.33,125.774025
13.38,116.2234749
14.43,122.4700691
14.74,199.6841181
13,142.1052082
17.14,119.1417036
15.84,151.7243003
11.65,118.3285278
12.04,108.4228758
16.02,153.2615013
14.06,136.3375231
13.34,119.3698437
18.05,176.2537597
11.33,89.46598641
15.29,129.2083716
12.6,137.8272021
15.79,154.9094032
11.17,112.2713439
12.82,108.4986067
12.32,119.260461
13.5,138.7506132
14.61,131.1703626
10.55,93.95139424
14.57,129.5503629
18.75,217.3626614
11.96,88.50284295
14.44,166.1455291
14.66,137.649125
15.3,161.5115572
11.83,114.7636525
13.78,120.3032639
13.43,64.23580174
14.68,84.05378399
10.34,79.76855913
14.26,99.36558166
13.56,138.9763567
12.8,123.488279
12.93,135.8409323
11.5,72.56666681
11.56,90.29733008
14.82,114.9654357
18.82,166.6890286
16.08,179.759931
18.84,209.6934888
15.51,145.3891235
12.92,102.1720111
13.25,125.743844
13.48,114.9990445
15.22,108.3201101
14.9,106.6846488
14.06,120.7937852
10.53,95.58541495
12.79,145.4697013
14.09,131.5571006
13.71,119.54303
9.01,75.98877107
12.97,91.34676203
14.16,125.0065147
18.11,208.6865253
12.75,142.1266052
12.64,162.990581
9.68,83.49785847
12.45,98.45762759
13.79,121.714845
15.37,146.1305565
12.42,85.39153373
13.74,63.54650023
12.82,143.2532471
15.95,147.1603369
13.59,120.0130323
13.19,133.3023537
13.65,122.2359021
12.46,127.2366211
11.31,123.4617113
15.28,135.8767769
13.12,151.7836092
13.93,109.6649106
11.96,140.552154
12.91,121.0433705
16.44,154.15333
16.53,146.4482906
15.97,95.51771323
12.44,123.798013
15.27,110.4731751
15.48,124.222258
12.23,79.3956547
10.06,78.23846426
12.75,123.8846659
12.77,123.9094558
10.51,89.87970645
9.63,89.02496919
10.79,79.64314238
13.03,125.8982058
14.16,128.4592001
13.42,165.0079822
10.63,69.46871681
8.5,89.97322407
12.44,110.3523628
13.3,127.9212742
14.42,82.85847431
15.16,147.0049736
15.29,173.3905494
15.44,167.8140275
16.12,145.8242177
15.24,139.8174058
16.24,153.760709
10.59,77.60127011
11.83,107.5128334
13.58,86.23322936
14.35,123.5672666
12.94,133.9979687
10.63,116.3672305
12.93,132.182138
12.43,123.4866637
14.27,112.1125428
13.33,95.554187
13.19,101.9926663
16.4,141.3656704
9.26,68.46758409
13.25,124.5713843
15.07,119.8988832
14,101.4609193
11.77,134.4519964
14.48,137.0349077
14.39,127.6427546
17.99,169.9139252
15.04,140.6332678
14.93,149.8933921
14.49,125.8119903
8.33,76.58473496
14.64,129.6388228
13.31,117.4302811
13.52,161.1923537
11.35,104.9513864
15.08,127.5043875
17.08,124.047922
16.2,142.0354093
16.26,137.2261617
11.26,70.40119005
14.51,155.4078212
15.88,146.9013723
16.13,141.2502698
15.78,147.7331324
13.82,146.3234491
15.03,144.5895504
16.67,177.1070178
13.31,141.2497323
13.74,117.0682759
13.93,130.4185157
13.63,116.1553963
16.66,105.9737622
14.73,155.729351
13.23,121.6344082
12.31,136.1901649
15.35,179.0111851
14.2,109.0766572
17.06,166.0986187
14.05,137.0824208
11.58,102.2728806
12.24,107.5913631
12.61,124.4783566
14.8,154.7636579
14.66,159.7195557
13.97,135.4778064
15.26,140.0932251
13.63,108.5479507
16.64,135.6728279
15.89,96.69534662
20.87,169.4831892
15.94,119.0389628
17.64,182.3312433
13.83,111.480028
12.97,89.43217432
11.5,103.5836581
14.94,125.9097247
10.52,103.8840868
13.63,153.8602146
11.71,116.8282431
15,144.163121
14.64,140.6112717
