Length(cm),Mass(g)
14.52,135.5815404
14.84,146.7706274
11.09,101.8366496
11.85,95.75318642
14.15,123.971608
16.95,160.8279544
15.32,168.7717916
17.1,157.9649572
13.36,121.2742002
11.4,107.9763341
15.6,151.7057773
17.46,174.2597609
13.83,134.994694
17.99,172.3866128
13.79,130.0822805
13.27,153.5264355
15.29,141.4745039
13.76,139.9439328
15.73,156.1275827
9.22,97.59475081
11.42,94.98894721
11.85,120.1649125
13.65,129.0850129
11,104.7760872
15.89,184.1069278
16.84,169.3340239
14.65,126.5848495
15.61,146.2926959
17.1,146.9341273
15.44,148.1359735
12.78,137.0971957
18.74,187.3852435
15.2,147.3785542
13.49,149.6556308
17.12,187.1638936
13.06,137.2746899
14.71,143.6316058
13.95,154.8794285
14.03,144.9337574
12.8,127.2877823
16.71,157.4920803
15.47,166.180217
15.91,150.8957374
15.49,129.225765
11.37,120.6483158
16.68,135.2587979
15.03,141.2146068
12.93,113.33353
15.45,132.1370914
13.6,148.6349744
17.53,186.5049562
13.66,149.652002
10.98,105.7643995
14.44,152.1518865
13.45,126.2864217
14.18,140.5939124
16.3,176.4074913
14.72,124.2103564
11.02,107.3131352
11.89,118.1816315
14.3,127.9479054
15.46,179.7907806
14.01,146.5063113
13.42,152.4801175
13.42,132.4099958
13.32,137.0631586
15.73,152.3410532
14.93,109.8778471
15.02,145.7982818
14.9,163.0222408
13.62,107.1949332
11.99,142.1518326
17.08,178.6136018
12.39,108.4453479
14.12,156.2653431
15.32,132.1579971
12.44,152.7969697
14.37,133.7267597
13.99,130.3932222
15.91,167.6785937
13.82,134.1389579
10.42,119.4679088
18.72,195.0894147
16.39,176.4309244
13.49,145.2559329
13.77,120.1135327
14.65,149.7484236
16.47,155.4365922
11.48,115.6062683
14.73,139.6982968
15.64,164.14288
17.83,185.0165978
14.51,150.4209472
9.81,98.84152936
13.45,123.1511389
13.73,136.1207145
14.68,114.9259838
14.33,166.0516993
15.57,157.5982888
16.12,190.2294172
13.23,159.4592298
12.58,125.6151148
15.16,147.0829967
14.28,143.48222
18.49,164.71308
15.06,157.4403544
12.47,118.9861282
13.87,128.7347148
14.9,135.6026097
15.7,146.0530754
13.27,132.403158
14.91,139.2206676
12.48,101.2595209
10.97,108.0776797
14.44,151.1504428
15.92,143.8940898
14.36,166.2698953
14.36,161.7995021
17.9,177.1725605
15.63,144.5911061
12.62,138.2215487
14.74,124.177237
13.29,119.6202687
14.98,149.9909147
10.8,126.4900808
16.28,178.3453243
12.47,140.7180294
15.81,136.1785297
16.96,151.731093
14.18,147.9405347
13.38,123.7230343
15.35,141.8203219
13.29,130.1977389
14.22,149.9814186
10.55,108.9994818
11.01,101.9320498
13.37,133.250501
12.19,146.9312032
17.75,176.5863119
10.75,114.5275062
14.42,147.3910103
16.52,162.455657
16.18,177.4372993
12.14,141.4163293
12.43,113.1728076
11.85,117.7544025
14.02,165.9008892
12.67,110.2687615
13.09,136.6791625
16.95,143.4054197
14.85,145.1063538
12.34,115.5734517
10.99,124.0118907
11.17,109.037538
12.32,115.9826967
16.33,165.3684064
15.91,156.1211562
10.51,124.7379832
15.74,169.5550599
15.09,175.9696385
14.25,124.0108851
7.75,93.75245725
14.45,158.1111832
14.16,131.3283031
15.89,155.6932495
17.21,175.3516166
12.49,130.5375889
11.37,102.8703914
12.97,116.7694639
15.12,141.9884578
14.36,145.1535244
14.92,136.1605652
19.39,165.5176932
13.43,127.029882
17.33,181.2700163
15.16,179.8329277
10.06,122.8266171
11.78,92.2484569
16.45,183.8440411
12.47,128.4082595
16.52,162.894975
13.72,141.0776709
14.47,146.8736231
12.48,121.9374947
10.63,94.24811873
15.72,166.932891
15.4,117.47103
14.15,152.2320333
15.01,135.9964328
12.45,131.305718
15.88,154.6997335
11.44,115.8282266
14.56,136.9100356
15.09,150.406915
13.4,140.1635659
10.85,116.2085215
12.87,146.9924158
12.88,137.6017757
14.95,130.8737107
14.95,142.0299749
13.94,149.7891761
12.51,146.4758534
16.12,158.6748639
15.15,163.7051383
11.59,124.82046
13.28,122.9264693
14.45,147.0581959
13.63,164.3289469
17,167.1946259
10.13,84.40424105
11.82,106.984719
15.37,136.4232215
10.3,90.29333845
11.91,99.53201442
11.44,96.80369601
12.25,112.7794797
15.52,174.7761841
15.26,160.5784861
12.47,129.7618839
15.21,153.6085744
15.62,147.4105486
12.41,102.1206958
12.88,119.4882742
14.28,127.1963335
13.77,155.949722
12.23,124.9475412
12.46,105.9820953
11.29,103.2785428
15.18,155.3569478
16.12,160.0092775
11.37,128.2736898
15.82,169.7664758
16.1,160.9987782
18.02,174.9161181
15.87,164.9800901
16.07,165.1710164
14.82,166.0730189
18.16,198.7508939
16.8,183.7017331
15.29,151.7913857
12.22,110.0438177
13.08,126.868371
10.35,97.16450512
16.84,160.9579288
17.12,147.7417493
13.79,122.0849566
14.7,150.9130562
14.03,130.9750137
13.11,136.1253728
9.43,99.18569888
16.18,159.2049918
12.53,133.2499825
13.82,127.4307296
15.25,135.0975543
15,161.2904482
16.46,151.2025862
13.55,129.471302
15.91,163.1854895
14.96,122.29807
15.98,144.6498206
17.31,190.6535749
12.3,125.8986734
15.85,164.1354185
12.25,144.2078442
13.73,149.3638311
11.09,118.1861143
16.21,175.6886123
14.28,131.0407517
13.59,140.0546059
14.72,146.7819401
16.04,146.6678024
10.79,100.4979885
12.35,125.7942198
16.57,154.5594754
12.7,131.7636592
18.87,189.1777301
14.29,145.2753507
14.54,140.2599779
14.19,116.4886446
9.95,90.89433006
15.54,160.4153938
13.05,121.1920338
14.89,138.5944847
13.56,149.3073398
15.24,140.085815
16.43,159.2453152
10.17,103.9474385
11.51,122.1746744
16.37,190.7436911
15.7,146.154883
14.53,160.0728733
12.12,112.3909719
15.96,132.1577689
12.74,120.7101667
11.3,123.906798
13.76,135.3120752
9.87,99.57600838
14.8,169.7205351
13.64,161.5929985
13.8,127.3051752
14.84,113.0455613
13.58,131.1541851
16.59,157.5294151
13.55,135.1328426
14.77,166.641265
17.69,171.7957246
12.59,124.0584907
12.95,150.5172881
17.89,203.598077
8.62,82.32213948
13.29,142.1685014
12.35,115.4703731
13.91,144.6100566
13.13,151.2881872
12.78,132.6476403
13.9,132.3498633
15.13,147.9684403
14.65,157.329519
11.77,123.2182333
11.84,130.8208826
16.43,146.4268845
10.49,115.7103777
11.8,117.2158118
14.72,162.4124177
13.28,142.7033296
13.73,138.2155934
13.31,123.8182572
13.82,145.5438238
15.54,162.300309
10.68,90.29222034
15.21,159.4317426
14.43,170.6759899
13.54,118.4324475
17.53,194.166386
16.66,145.701418
11.21,125.966796
13.21,119.4497468
13.84,157.8580415
14.05,158.0408539
13.93,114.571673
17.81,192.4416365
15.97,157.1285975
13.12,131.356066
15.87,157.607932
15.24,151.9846746
15.63,153.6256343
18.08,206.4358403
13.05,109.4835266
11.89,117.8765439
14.3,162.6752483
13.34,122.0081427
12.42,118.0178811
14.26,136.0726603
13.94,148.8410768
7.9,90.83525805
13.08,139.0148371
12.34,115.0721453
12.46,120.3078858
12.03,104.8757773
13.06,140.8997119
11.92,101.8368869
16.16,171.8834386
12.8,122.3054613
13.82,137.8859161
16.55,165.9219422
12.67,141.8000385
14.52,141.0382801
14.48,126.4268394
12.43,124.7320197
13.78,158.7279658
14.56,129.1345793
13.2,139.6544013
15.82,191.7162132
12.03,113.9337442
15.11,153.0984103
14.62,138.1425534
12.09,105.134935
12.76,129.1941521
12.24,109.3144784
13.04,126.3893031
12.83,138.0354278
14.88,132.341173
13.09,142.1914528
13.66,126.8482339
13.36,127.0241108
18.04,179.5734939
14.23,144.2678856
15.1,112.8645308
11.84,143.1529218
15.44,140.3703114
12.21,101.8876609
15.21,166.6193823
11.49,121.2557175
14.05,112.011237
11.51,118.5144361
14.11,108.3980159
15.22,169.1854116
16.55,176.1901338
15.44,168.1776731
12.25,117.1430867
14.57,151.87868
14.31,161.2909971
12.74,135.3301476
11.31,110.4377798
13.97,120.0968837
12.84,148.3519085
15.2,137.7328601
14.44,159.7797677
13.89,130.3240336
18.29,176.2797802
14.61,145.5090541
14.61,153.0845442
11.65,117.6420085
13.92,128.9612742
13.71,149.4739681
13.72,128.1469461
11.72,98.32817072
14.49,142.7253052
16.43,160.2608634
13.46,136.8984124
16.04,186.9868673
14.55,138.9181027
15.33,179.0143252
10.46,92.67407769
10.41,125.3802335
14.16,140.6742686
13.96,138.2793442
13.11,117.4000757
16.51,151.6756971
11.13,102.0443218
14.06,160.0354799
10.89,123.709377
17.03,165.8426041
12.47,127.5274315
14.93,139.1771549
12.17,119.6910605
14.97,125.501012
19.67,166.7723507
16.62,182.0683093
15.96,161.1428891
17.75,162.7494217
15.43,175.3003044
13.99,155.916304
16.51,185.3675865
13.52,144.7654223
15.46,132.1014481
15.53,156.5469337
15.29,131.9173051
17.63,179.6231747
11.8,125.3574078
10.88,111.7112235
12.45,131.0078605
15.95,188.8958409
8.1,89.00513561
13.43,133.0926461
11.62,105.4952595
14.02,141.5305527
15.93,150.7512949
12.46,140.5427939
10.97,110.3455253
14.4,163.6702935
13.26,150.0282722
14.2,154.7057369
15.86,156.6224166
9.68,94.26105117
12.34,127.7685555
13.5,138.0112065
14.92,140.2289574
14.19,144.7195487
13.78,117.0711903
12.05,102.8173672
16.42,152.3180158
14.81,149.5681512
13.95,125.5444643
14.93,140.9998895
13.69,146.40476
13.39,133.737519
13.6,148.552443
17.21,188.1639244
11.98,110.9080298
12.51,118.5963876
11.07,102.5707839
12.54,135.3995606
14,154.3078319
12.84,125.4268695
13.78,123.619457
14.36,132.5480627
15.43,144.4377887
14.19,118.3669793
12.62,129.5491268
13.67,107.1985174
15.56,153.7622884
16.66,168.0720295
11.8,112.9982966
14.47,154.1523937
12.73,134.5796148
11.34,140.9043097
17.54,177.8812141
13.56,133.4191512
14.87,121.6263299
14.36,159.2830328
13.27,141.8796264
15.18,151.4599795
14.92,127.6834846
11.81,110.3106094
12.53,122.4843356
12.43,141.4501403
14.55,145.2854787
15.57,160.4433998
14.77,172.7637576
16.04,136.5829994
14.88,139.5632463
14.78,147.1998691
15.12,160.4610955
11.29,112.9322363
13.03,116.2272697
