ShotId,PlayerID,distance_feet,angle,firstName,lastName,height,weight,position,Score
3,520,24.2,7,Mitchell,Stengel,197.5,98.8,SG,1
4,870,23.9,16,Dawson,Vincent,212.9,105.9,PF,0
6,837,18.7,4,De'Ron,Robinson,218.8,108.1,C,1
8,521,8.4,35,Devante,Wilkins,207.4,102.1,PF,1
9,535,20.3,21,Brandon,Eshetu,210.6,105.4,PF,0
15,171,24.1,11,Sherman,Hill,194.8,97.1,SG,0
16,401,20.8,15,Joshua,Dillon,204.8,101.7,PF,0
17,614,24.4,28,Austin,Lee,217,108.8,C,0
18,903,20.7,19,Daezionte,Johnson,225.4,112.3,C,0
20,973,13.6,1,Gerald,Phare,190.8,95.3,PG,1
21,357,28.5,3,Javelle,Hawkins,190.8,92.9,PG,0
22,719,28.9,12,Jowan,Arrington,190.8,96.2,PG,0
27,512,21.2,1,Kyle,Murphy,218.2,109.1,C,1
28,698,20.7,25,Austen,Ely,214.2,106.2,PF,0
31,481,17.8,16,Davon,Stubblefield,190.8,95.5,PG,1
33,134,11.1,9,Cade,Valentine,219.9,108.2,C,1
34,474,26.3,7,Adam,Waterman,206.6,104.8,PF,0
36,65,29.3,4,Yaphet,Minter,215.3,106.7,C,0
38,542,25,5,Bryan,Gerkin,190.8,95.9,PG,0
39,719,13.5,11,Jowan,Arrington,190.8,96.2,PG,1
44,121,17,18,Daniel,Simpson,190.8,94.1,PG,0
46,228,21,18,William,Rosen,199.8,100.9,SG,0
47,678,24.8,2,Jonathon,Thompson,212.4,106.6,PF,0
49,64,10.5,27,Cole,Kimber,203.6,101.6,SF,1
50,359,17.3,12,Jarmosley,Mcknight,190,93.5,SG,0
51,757,23.5,50,Oshay,Spicely,199.8,100.2,SF,0
52,277,27,5,Shannon,Woodard,190.8,95.3,PG,0
54,108,14.4,28,Austin,Allen,215.5,108.4,PF,1
55,231,33.5,23,Tory,Capel,208.8,104.8,PF,0
59,764,24.7,20,Leo,Fittje,210.5,104.7,PF,0
61,687,18.6,10,Terrell,Hayes,195.2,97.8,SG,1
66,814,16.4,18,Aaron,Taylor,204.2,101.2,PF,1
68,150,17.2,6,Austin,De Steiguer,207.6,104.1,PF,1
70,990,15,49,Jesse,O'Leary,221.8,110.2,C,0
71,616,19.1,1,Christopher,Guereque,201.8,102.4,SF,1
72,278,15.5,3,Noah,Boehler,216.8,108.4,PF,1
76,168,20.8,8,Felix,Cranmer,195.9,99.1,SF,0
77,414,5.7,7,Shawn,Daugherty,221.2,110.6,C,1
78,505,26.9,10,Jayson,Powell,201.7,99.8,SF,0
79,99,20.1,2,William,Mcheard,211.1,104.5,PF,1
81,751,23.3,1,Kyree,Towers,218.2,108.7,C,0
83,217,16.4,9,Jordon,Johnson III,200.2,99,SF,1
84,158,13.2,6,Clayton,Burks,211.5,105.5,PF,1
85,725,16.9,25,Nathaniel,Dean,215.7,107.5,C,1
86,787,17.4,25,Christopher,Ross-Gaymon,193.1,97.2,SG,0
88,556,22.5,3,Christian,Simmons,212.8,105.1,PF,0
91,741,15.4,21,Myles,Holmes,196.4,98.3,SG,1
92,216,15,20,Jason,Vacek,215.8,107.6,C,1
96,456,21.8,51,Chad,Bodlak,215.4,107.3,C,0
99,557,22.2,22,Raheem,Sims,190.8,97,PG,0
103,692,20.9,7,Andrew,Mcomber,190.8,95.5,PG,0
106,573,22.4,3,John,Harris,222.8,112.8,C,1
108,882,16.8,2,Brian,Draper,190.8,96.1,PG,1
109,6,18.8,7,Zachary,Sutton,188.1,95.6,SG,1
114,721,18.7,32,Faunte,Lee,202.9,100.1,SF,0
117,823,21.5,5,Brandon,Manlove,198.5,100.2,SG,1
119,118,20.6,9,Gunner,Oxenreider,190.8,95.1,PG,0
121,613,25.3,2,Anthony,Baker,205.7,101.6,PF,0
126,273,27.6,5,E'Phraim,Williams,219.7,111.2,C,0
127,788,19.4,39,Cameron,Goldman,190.8,95.7,PG,0
128,974,20.4,20,Matthew,Duke,222.7,111,C,0
133,279,23.8,20,Liban,Lacour,219.1,109.8,PF,0
135,727,23.2,32,Jacob,Williams,190.4,95.3,SG,0
137,238,11.8,13,Shea,Brumaghin,190.8,96.3,PG,1
138,101,18.4,5,Tyler,Atsedu,190.8,96.1,PG,1
140,839,23.1,27,Eisley,Davison,214.7,106.8,PF,0
141,810,16.6,35,Korey,Smiley,190.8,94.4,PG,0
142,498,17,5,Zachery,Frushour,207.4,104,SF,1
143,958,22.7,21,Shea,Quinn,191.3,95.6,SG,0
144,423,23.6,32,Adrian,Thompson,196.1,97.6,SG,0
146,756,17.5,2,Jacob,Dodero,222,109.9,C,1
147,751,21,21,Kyree,Towers,218.2,108.7,C,1
149,689,20.4,15,Darius,Daughtry,218.1,110.1,C,0
151,399,16.8,2,Dominique,Mclean,198,98.4,SF,1
154,296,13.9,5,Logan,Schwind,216.3,106.3,PF,1
158,936,14.1,6,Dalton,Corder,217,107.5,C,1
160,318,22.2,4,Kirk,Noureddine,204.5,101.4,SF,1
162,486,16,46,Kevin,Velic,190.8,95.3,PG,0
164,840,20.8,1,Zachary,Schmalz,190.8,93.9,PG,1
