Title,Dewey_Decimal_Number,Author,ISBN,In_Stock,DatePurchased,NumberInStock,NumberOfAccesses,Price,LastAccessed
13 Things That Don't Make Sense,500.1,"Brooks, Michael",978-6264982389,n,31-JAN-2015,0,2,5.99,16-MAY-2017
1984,823,"Orwell, George",7885416778,y,01-AUG-1984,1,1,1.99,22-JAN-1990
2001: A Space Odyssey,823,"Clarke, Arthur C",970953942X,y,16-AUG-2001,5,12,5.99,20-JUN-2008
2010,823,"Clarke, Arthur C",5201310574,n,01-MAY-1994,0,12,17.99,16-MAY-2017
20th Century Discovery - The Science of Life,576,"Asimov, Isaac",689821817X,y,01-JAN-1989,1,2,4.99,02-AUG-1998
2312,823,"Robinson, Kim Stanley",978-3431759804,n,30-OCT-2014,0,4,7.99,16-MAY-2017
50 Philosophy of Science Ideas You Really Need to Know,501,"Southwell, Gareth",978-526985972X,y,16-MAR-2016,1,4,17.99,15-MAY-2018
A Snowball in Hell,823,"Brookmyre, Christopher",0671951333,y,28-DEC-2001,3,1,17.99,20-JUN-2007
Abducted: How People Come to Believe They Were Abducted by Aliens,1.9,"Clancy, Susan A",978-680451390X,y,04-SEP-2006,1,2,5.99,04-APR-2016
About Black Holes,523.1,"Asimov, Isaac",2789616768,n,01-JUN-1982,0,0,5.49,16-MAY-2017
About Time,530,"Davies, Paul",9248635489,y,16-MAY-2003,1,2,5.99,05-NOV-2008
Absent Minds,305.5,"Collini, Stefan",3113883754,y,15-DEC-2002,2,0,5.99,19-OCT-2009
Absolute Beginners,823,"MacInnes, Colin",6698371562,y,01-AUG-1979,4,10,1.5,18-OCT-1987
Absolute Friends,823,"Le Carre, John",087216512X,y,07-MAR-1998,1,2,5.99,06-OCT-2007
"Abstract Society, The",300,"Zijderveld, Anton C",6674714683,y,14-MAR-1997,2,4,12.49,13-OCT-2006
Achilles in the Quantum Universe,500,"Morris, Richard",7177375326,y,,1,2,,20-MAR-2014
Acid Row,823,"Walters, Minette",8187767518,y,11-JUN-2003,3,1,12.49,15-APR-2010
"Act of Creation, The",153,"Koestler, Arthur",5831955367,y,09-JAN-1998,2,2,17.99,05-OCT-2000
Ada,823,"Nabokov, Vladimir",8613095651,n,01-JAN-1987,0,1,4.99,16-MAY-2017
Adam and Eve and Pinch Me,823,"Rendell, Ruth",978-9930299371,y,19-DEC-2006,5,1,5.99,07-JAN-2009
"Adapted Mind, The",153,"Barkow, Jerome H, et al",6233840872,y,22-FEB-2001,2,2,21.5,11-MAY-2009
Adolf Hitler - My Part in His Downfall,823,"Milligan, Spike",3531171788,n,01-APR-1978,0,10,2.99,16-MAY-2017
Adrift in Soho,823,"Wilson, Colin",978-9922063379,y,26-DEC-2015,2,1,12.49,15-MAY-2018
"Affirmation, The",823,"Priest, Christopher",5074980098,y,,5,4,,21-JAN-2008
After Many a Summer,823,"Huxley, Aldous",978-9108259244,y,10-APR-2011,3,10,12.49,30-SEP-2016
After the Fireworks,823,"Huxley, Aldous",978-5695850260,y,20-DEC-2015,3,2,7.99,15-MAY-2018
After the Nation State,321,"Horsman, Matthew, and Marhsall,",3190171538,y,14-APR-1997,1,2,5.99,13-NOV-2006
"Afterglow of Creation, The",520,"Chown, Marcus",5320941110,y,11-AUG-1996,1,0,12.49,01-FEB-2002
Against Method,501,"Feyerabend, Paul",2095146762,y,01-APR-1994,2,2,17.99,03-FEB-2001
Against a Dark Background,823,"Banks, Iain M",6351367178,y,01-OCT-1994,5,1,17.99,18-DEC-2002
Age of Analysis,100,"White, Morton (ed.)",8178901220,y,,1,1,,11-APR-2006
"Age of Great Dreams, The",970,"Farber, David",9151251451,y,01-MAR-1994,1,4,5.99,30-SEP-2003
"Age of Reason, The",823,"Sartre, John Paul",6510095171,y,01-APR-1978,4,1,0.99,03-FEB-1985
Albert Einstein,530.9,"Infeld, Leopold",9584317012,n,01-JUL-1979,0,4,2.99,16-MAY-2017
Alchemists of Human Nature,150.19,"Petikainen,  Petteri",352391229X,y,,2,2,,20-MAR-2014
Alchemy,500,"Holmyard, E J",7999732917,y,15-SEP-1995,2,2,17.99,15-APR-2005
"Algebraist, The",823,"Banks, Iain M",978-3297050806,y,27-NOV-2006,4,1,17.99,01-OCT-2013
Alice in Wonderland and Through the Looking Glass,823,"Carroll, Lewis",776453942X,n,01-AUG-1983,0,2,1.99,16-MAY-2017
Alien Dawn: An Investigation into the Contact Experience,1.9,"Wilson, Colin",914633226X,y,07-NOV-2001,2,1,5.99,30-APR-2007
Alien Encounters,1.9,"Jacobs, David M",1620729017,n,09-OCT-1995,0,2,5.99,16-MAY-2017
"Alien Heat, An",823,"Moorcock, Michael",9530407744,y,01-JAN-1981,1,1,1.99,20-MAR-1989
Alien Intelligence,500,"Holroyd, Stuart",9473431189,n,10-OCT-1995,0,0,5.99,16-MAY-2017
Alien Update,1.9,"Good, Timothy (ed)",7773668104,n,01-NOV-1994,0,2,12.49,16-MAY-2017
Aliens from Space,1.9,"Keyhoe, Donald",7042474499,n,01-JAN-1976,0,1,0.99,16-MAY-2017
All About H Hatter,823,"Desani, G V",0884264871,n,01-DEC-1982,0,12,4.99,16-MAY-2017
All Our Yesterdays: 90 years of British Cinema,791.43,"Barr, Charles (ed.)",9805166214,y,04-APR-2000,1,4,21.5,21-JUN-2008
All Tomorrow's Parties,823,"Gibson, William",978-4751575540,y,11-FEB-2013,3,10,5.99,15-MAY-2018
All the President's Men,364,"Bernstein, Carl, and Woodward, Bob",4091661430,y,14-JUL-2001,1,1,12.49,12-FEB-2011
All the Sounds of Fear,823,"Ellison, Harlan",2364567296,y,01-OCT-1984,1,1,4.5,18-DEC-1992
"Alley God, The",823,"Farmer, Philip Jose",1048893580,n,01-AUG-1988,0,2,5.49,16-MAY-2017
Alternative Persons: The Entities of Science Fiction and Myth,809.3,"Gooch, Stan",1740484453,y,09-OCT-1995,1,1,12.49,26-DEC-2003
"Ambidextrous Universe, The",530,"Gardner, Martin",360462729X,y,01-MAY-1995,1,4,5.99,18-JUL-2003
American Psycho,823,"Easton, Brett Ellis",978-7051056017,y,29-AUG-2012,5,1,5.99,15-MAY-2018
Amerika,823,"Kafka, Franz",6540632516,y,28-OCT-1997,1,1,17.99,06-DEC-2001
Amsterdam,823,"McEwan, Ian",978-8756859819,y,19-JUN-2014,1,10,17.99,15-MAY-2018
Anarchism,320.5,"Kinna, Ruth",7660923771,y,11-DEC-1997,1,1,12.49,15-OCT-2004
Anarchism: A Very Short Introduction,320.5,"Ward, Colin",978-1559127076,y,28-MAR-2015,1,1,7.99,15-MAY-2018
Anarchists in Love,823,"Spencer, Colin",146015398X,n,01-NOV-1981,0,10,1.99,16-MAY-2017
Ancient Britons and the Antiquarian Imagination,900.1,"Piggott, Stuart",0835381891,y,28-DEC-1999,2,2,17.99,15-MAR-2008
Ancient Egypt,932,"Watterson, Barbara",1201181156,y,,1,2,,20-MAR-2014
Ancient Trackways of Wessex,911,"Timperley, H. W. and Edith Brill",7707871090,y,,2,4,,16-MAY-2007
"Ancient Wisdom, The",133,"Ashe, Geoffrey",9113984024,n,01-JUL-1990,0,2,5.99,16-MAY-2017
