CustomerId,Age,Employment_Type,Sector,Gender,Part_Of_UK,Income,Native_Country,Loan_Period,Loan_Amount,Other_Debt,Housing_Situation,Has_CCJ
10,21,Public,Education,Male,East Anglia,14300,UK,1068,15100,0,1,0
45,38,Private,Healthcare,Female,London,39300,UK,910,9800,0,1,0
116,27,Private,Law,Male,London,38400,UK,49,8500,0,1,0
143,29,Private,Finance,Male,London,33100,UK,709,7300,0,1,0
164,30,Private,Agriculture,Female,London,17000,UK,822,10600,0,1,0
167,31,Volunteer,Agriculture,Female,South East,0,UK,707,6800,0,1,0
197,45,Private,Technology,Male,North West,25000,UK,9,8400,0,1,0
199,33,Private,Engineering,Female,London,36500,UK,341,14100,0,1,0
230,36,Private,Media,Male,North West,31000,UK,908,6100,0,1,0
260,32,Private,Technology,Female,South West,35600,UK,681,13100,0,1,0
269,34,Private,Healthcare,Male,South East,25900,UK,911,11600,0,1,0
270,28,Public,Law Enforcement,Male,North West,22400,UK,396,12100,0,1,0
333,22,Public,Healthcare,Male,South West,24100,UK,64,7200,0,1,0
339,27,Volunteer,Technology,Male,South West,0,UK,351,10700,0,1,0
366,31,Private,Healthcare,Female,West Midlands,31800,UK,376,10600,0,1,3
374,45,Private,Healthcare,Male,East Anglia,17800,UK,186,13400,0,1,0
379,45,Self-Employed,Technology,Male,Scotland,24100,UK,179,9600,0,1,0
408,47,Volunteer,Education,Female,West Midlands,0,UK,1041,13100,0,1,0
416,28,Private,Media,Female,South East,26500,UK,205,7200,0,1,0
418,30,Private,Finance,Female,South East,34800,UK,411,11300,0,1,0
463,38,Private,Media,Male,North West,19900,UK,858,10300,0,1,0
480,23,Unemployed,N/A,Male,London,0,UK,327,9000,7676,1,0
486,24,Private,Technology,Male,West Midlands,19200,UK,687,11200,0,1,0
526,38,Private,Retail,Female,London,14600,UK,420,13600,0,1,0
572,26,Public,Healthcare,Male,West Midlands,17300,UK,920,11200,0,1,0
585,22,Public,Infrastructure,Female,South East,27400,UK,314,10100,0,1,0
589,43,Public,Infrastructure,Female,South East,27800,UK,537,11000,0,1,0
595,19,Unemployed,N/A,Female,East Anglia,0,UK,75,9300,0,1,0
619,70,Private,Engineering,Female,South East,15400,UK,197,10700,0,1,0
625,29,Private,Agriculture,Female,East Anglia,16900,UK,1094,9300,0,1,0
660,21,Unemployed,N/A,Male,West Midlands,0,UK,284,11900,0,1,0
686,33,Volunteer,Healthcare,Female,London,0,UK,984,10400,0,1,0
691,30,Private,Agriculture,Female,North West,20200,UK,502,13100,0,1,0
700,13,Private,Technology,Male,Wales,18300,UK,690,11100,0,1,0
714,28,Private,Law,Male,London,31200,UK,678,6700,0,1,0
724,41,Self-Employed,Education,Male,London,23100,UK,0,14000,0,1,0
730,15,Unemployed,N/A,Male,West Midlands,0,UK,590,12300,0,1,0
731,23,Public,Law Enforcement,Male,South West,24000,UK,528,11600,0,1,0
756,37,Private,Agriculture,Male,London,38800,UK,807,11500,0,1,0
803,19,Public,Education,Female,Scotland,23200,UK,111,12500,0,1,0
807,29,Private,Technology,Male,London,32700,UK,996,11400,0,1,0
810,36,Private,Media,Female,South East,18500,UK,363,12800,0,1,0
826,18,Private,Technology,Male,London,31500,UK,276,10100,0,1,0
835,19,Unemployed,N/A,Female,London,0,UK,169,13900,0,1,0
841,28,Private,Media,Female,South West,27300,UK,494,10500,0,1,0
846,54,Self-Employed,Agriculture,Female,South East,16200,UK,534,10600,14137,1,0
874,18,Unemployed,N/A,Male,North East,0,UK,495,7900,0,1,0
879,22,Public,Education,Male,East Anglia,18900,UK,1046,10400,0,1,0
933,34,Private,Healthcare,Male,South East,46700,UK,545,6700,0,1,0
942,27,Public,Infrastructure,Female,London,29800,UK,623,10300,0,1,0
965,15,Private,Agriculture,Female,South East,33900,UK,584,12600,8025,1,0
976,31,Private,Law,Female,South East,16000,UK,372,9700,0,1,0
1006,34,Private,Media,Female,North West,9900,UK,755,10000,0,1,0
1025,30,Private,Technology,Female,West Midlands,12600,UK,1191,11700,0,1,0
1028,50,Private,Media,Female,East Anglia,9400,UK,642,12200,0,1,1
1029,27,Private,Finance,Female,North West,28800,UK,573,12900,0,1,0
1031,43,Private,Finance,Male,London,36500,UK,661,6500,0,1,0
1041,48,Private,Technology,Female,West Midlands,7200,UK,722,10000,0,1,0
1052,47,Private,Agriculture,Male,South East,17400,UK,382,10400,0,1,0
1094,34,Private,Media,Female,North West,42000,UK,232,6500,0,1,0
1142,39,Private,Technology,Female,South East,50300,UK,1026,11200,0,1,0
1169,14,Unemployed,N/A,Female,South East,0,UK,168,10400,0,1,0
1183,33,Private,Technology,Male,London,35400,UK,648,12400,0,1,0
1249,26,Private,Law,Female,London,29000,Po,326,8300,0,1,0
1277,34,Private,Technology,Male,Scotland,9400,UK,355,10200,0,1,0
1325,45,Private,Healthcare,Female,South East,55600,UK,621,7400,0,1,0
1334,64,Private,Agriculture,Female,Midlands,5200,UK,8,8400,0,1,0
1347,41,Private,Technology,Female,London,17900,UK,788,12500,0,1,0
1390,19,Public,Infrastructure,Male,South East,30200,UK,727,11900,0,1,0
1442,56,Private,Media,Female,South East,17700,UK,181,9500,0,1,0
1450,45,Private,Healthcare,Female,Midlands,35400,UK,525,9400,0,1,0
1488,38,Private,Law,Male,South West,14600,UK,811,9700,0,1,0
1505,31,Private,Finance,Female,South East,27400,UK,595,11300,0,1,0
1529,23,Private,Finance,Male,South East,29100,UK,413,8800,0,1,0
1614,37,Private,Retail,Female,West Midlands,13800,UK,333,8400,0,1,0
1626,67,Private,Technology,Male,South West,14200,UK,445,8300,0,1,0
1628,34,Volunteer,Healthcare,Male,Scotland,0,UK,13,11200,0,1,0
1647,29,Self-Employed,Agriculture,Female,South West,20400,UK,957,11600,0,1,0
1666,32,Private,Media,Male,East Anglia,23000,UK,605,10500,0,1,0
1680,25,Private,Engineering,Female,London,34100,UK,274,8100,0,1,0
1686,19,Private,Retail,Female,South East,25400,UK,521,7500,0,1,0
1746,34,Volunteer,Education,Male,London,0,UK,600,9100,0,1,0
1781,28,Private,Media,Male,East Anglia,23500,UK,87,7600,0,1,0
1792,39,Private,Engineering,Male,London,15500,UK,24,8700,0,1,0
1809,52,Private,Retail,Female,London,18100,UK,56,8900,0,1,0
1825,20,Private,Media,Female,London,30200,UK,0,10200,0,1,0
1869,30,Private,Retail,Female,South West,21400,UK,381,11800,0,1,0
1922,25,Self-Employed,Agriculture,Male,South West,29000,UK,458,11400,0,1,0
1942,45,Private,Media,Male,London,55700,UK,620,8300,0,1,0
1952,28,Private,Technology,Female,East Anglia,25300,UK,454,9500,0,1,0
1995,38,Private,Engineering,Male,Scotland,36900,UK,548,11400,0,1,0
2051,25,Private,Technology,Female,West Midlands,11100,UK,696,10500,0,1,0
2054,34,Private,Engineering,Male,South East,11500,UK,737,11000,0,1,0
2055,48,Private,Agriculture,Male,Northern Ireland,23900,UK,768,11000,0,1,0
2080,27,Private,Healthcare,Male,South East,28300,UK,310,12200,0,1,0
2126,16,Private,Retail,Male,West Midlands,28500,UK,222,11000,0,1,0
2149,21,Public,Infrastructure,Male,South East,25300,UK,622,12200,0,1,0
2177,34,Private,Finance,Female,East Anglia,32700,UK,664,12300,0,1,0
2178,35,Volunteer,Healthcare,Female,South East,0,UK,417,7900,0,1,0
2194,25,Volunteer,Healthcare,Female,North West,0,UK,38,9900,0,1,0
2198,49,Private,Engineering,Female,South West,43300,Sr,497,13100,0,1,0
2202,23,Private,Finance,Male,West Midlands,24900,UK,319,10000,0,1,0
2247,30,Volunteer,Agriculture,Female,London,0,UK,176,10300,0,1,0
2269,26,Private,Technology,Male,North West,25900,UK,485,8200,0,1,0
2279,33,Private,Healthcare,Female,North West,16400,UK,292,11600,0,1,0
2336,45,Private,Technology,Female,London,29300,UK,397,9000,0,1,0
2385,26,Private,Engineering,Female,London,30000,UK,227,13800,0,1,0
2387,34,Private,Engineering,Female,Midlands,17500,UK,209,9900,0,1,0
2429,19,Private,Law,Male,North West,22600,UK,302,9400,0,1,0
2434,42,Private,Retail,Male,South East,23600,UK,531,7400,0,1,0
2486,28,Public,Law Enforcement,Female,South West,21700,UK,694,9300,0,1,0
2494,46,Private,Healthcare,Male,London,37500,UK,78,11600,0,1,0
2519,35,Private,Agriculture,Male,West Midlands,9100,UK,573,12700,0,1,0
2579,34,Private,Finance,Male,London,36000,UK,103,14400,0,1,0
2595,33,Private,Finance,Female,South East,43400,UK,60,10100,0,1,0
2598,36,Private,Agriculture,Female,London,15800,UK,273,12200,0,1,0
2604,30,Private,Retail,Male,West Midlands,25100,UK,833,9100,0,1,0
2631,43,Self-Employed,Finance,Female,West Midlands,14800,UK,722,10300,0,1,0
2666,33,Private,Finance,Female,South West,12400,UK,445,8400,0,1,0
2679,20,Unemployed,N/A,Female,South East,0,UK,193,10700,0,1,0
2682,25,Private,Engineering,Male,London,26200,UK,770,12500,0,1,0
2690,58,Private,Agriculture,Female,South East,15300,UK,339,9000,0,1,0
2691,21,Public,Infrastructure,Male,West Midlands,19000,UK,3,8300,0,1,0
2715,21,Private,Retail,Male,London,39500,UK,523,6600,0,1,0
2731,26,Private,Agriculture,Female,London,37000,UK,773,7600,0,1,0
2738,48,Private,Healthcare,Male,North West,44400,UK,481,8300,0,1,0
2768,35,Private,Technology,Female,London,25000,UK,1051,9300,0,1,0
2780,49,Private,Engineering,Male,London,27100,UK,624,7600,0,1,0
2784,20,Public,Healthcare,Female,South East,29300,UK,796,9300,0,1,0
2800,20,Private,Law,Male,South West,24700,UK,703,12100,0,1,0
2873,21,Unemployed,N/A,Male,South East,0,UK,728,11400,0,1,0
2878,37,Private,Agriculture,Male,South East,33500,UK,678,10400,0,1,0
2887,14,Public,Education,Female,South East,28300,UK,678,14300,0,1,0
2903,41,Private,Law,Male,South East,42000,UK,804,9300,0,1,0
2912,36,Private,Law,Male,London,15300,UK,289,10500,0,1,0
2919,16,Unemployed,N/A,Male,South West,0,UK,389,9700,0,1,0
2936,31,Private,Finance,Male,London,28300,UK,315,12400,0,1,0
2977,28,Private,Engineering,Female,South East,31300,UK,84,13100,0,1,0
2979,40,Private,Media,Female,Wales,14700,UK,617,11900,0,1,0
2993,51,Private,Healthcare,Female,South East,13000,UK,502,13000,0,1,0
3023,37,Private,Law,Male,South East,30300,UK,42,10900,0,1,0
3039,28,Private,Finance,Male,North West,27100,UK,161,8600,0,1,1
3045,19,Public,Infrastructure,Male,Scotland,23700,UK,917,7200,0,1,0
3064,35,Private,Healthcare,Female,Scotland,31000,In,527,11000,0,1,0
3133,47,Private,Engineering,Female,North West,16300,UK,560,7900,0,1,0
3137,31,Private,Retail,Male,Midlands,11000,UK,82,11200,0,1,0
3168,24,Private,Healthcare,Male,London,30000,UK,217,8000,0,1,0
3179,20,Public,Infrastructure,Male,Scotland,26900,UK,290,9900,0,1,0
