CustomerId,Age,Employment_Type,Sector,Gender,Part_Of_UK,Income,Native_Country,Loan_Period,Loan_Amount,Other_Debt,Housing_Situation,Has_CCJ,Default
12,22,Public,Law Enforcement,Male,South West,22900,UK,626,11300,0,1,0,0
21,78,Private,Healthcare,Male,South West,11100,UK,261,13300,0,1,0,1
22,24,Public,Healthcare,Male,London,32900,UK,880,12400,0,1,0,0
23,63,Private,Technology,Male,South East,11700,UK,398,12500,263,1,0,1
24,39,Private,Retail,Female,South East,19700,UK,132,11100,0,1,1,1
47,38,Volunteer,Technology,Male,South West,0,UK,405,9200,0,1,0,1
51,41,Private,Agriculture,Male,South East,28200,UK,113,12500,0,1,0,1
53,27,Private,Healthcare,Female,London,36800,UK,263,14000,0,1,0,1
56,20,Public,Healthcare,Female,North West,27600,UK,39,11000,0,1,0,1
60,33,Private,Agriculture,Male,North West,10800,UK,637,8400,0,1,0,0
64,35,Private,Media,Male,North West,16900,UK,563,11600,0,1,0,0
93,37,Private,Healthcare,Male,London,37100,UK,467,6300,0,1,0,1
96,19,Public,Infrastructure,Female,Midlands,21900,UK,718,11000,0,1,0,0
115,37,Private,Law,Male,West Midlands,29400,UK,174,8400,0,1,0,1
117,43,Private,Law,Male,South East,34200,UK,606,9400,0,1,0,0
118,19,Public,Law Enforcement,Female,East Anglia,20300,UK,202,8800,0,1,0,1
133,46,Private,Healthcare,Female,South East,32400,UK,524,13600,0,1,0,0
150,32,Private,Technology,Female,London,49000,Ot,257,4300,0,1,0,1
151,32,Private,Law,Female,South East,50500,UK,366,13300,0,1,0,1
155,22,Private,Retail,Female,London,26100,UK,1153,8700,0,1,0,0
159,42,Private,Retail,Female,London,34100,Ot,129,13100,0,1,0,1
170,28,Private,Agriculture,Male,North West,22400,UK,590,14400,0,1,0,0
193,36,Private,Law,Female,Scotland,41000,UK,502,10400,0,1,0,0
206,22,Public,Healthcare,Female,London,28500,UK,831,11400,0,1,0,0
213,35,Private,Retail,Female,South East,39500,UK,302,11200,0,1,0,1
217,33,Public,Military,Male,North West,23900,UK,217,8600,0,1,0,1
232,46,Private,Media,Male,South West,36800,UK,151,8400,0,1,0,1
245,25,Private,Healthcare,Male,Wales,31700,UK,265,9800,0,1,0,1
247,47,Private,Engineering,Male,London,20500,UK,711,8700,0,1,0,0
250,14,Private,Law,Female,East Anglia,14000,UK,524,11500,0,1,1,1
257,23,Unemployed,N/A,Female,South East,0,UK,368,9600,0,1,0,1
264,21,Private,Finance,Male,Northern Ireland,22300,UK,492,6400,7244,1,0,1
281,64,Private,Agriculture,Female,South East,16300,UK,895,9800,0,1,0,0
291,48,Private,Media,Male,London,28900,UK,625,6100,0,1,0,0
318,47,Private,Healthcare,Male,South West,34500,UK,900,9400,0,1,0,0
331,38,Private,Healthcare,Male,West Midlands,25900,UK,579,7000,0,1,0,0
349,28,Private,Media,Male,Midlands,23200,UK,266,5000,0,1,0,1
351,32,Private,Law,Female,North West,15500,UK,468,13400,0,1,0,1
