CustomerId,Age,Employment_Type,Sector,Gender,Part_Of_UK,Income,Native_Country,Loan_Start_Date,Loan_End_Date,Loan_Period,Loan_Amount,Other_Debt,Housing_Situation,Has_CCJ,Default
2931,37,Private,Engineering,Female,East Anglia,12500,UK,21703,22475,772,11400,0,1,0,0
4963,30,Private,Agriculture,Female,South East,36700,UK,20806,20901,95,10000,0,1,0,0
11698,17,Private,Media,Female,North West,22800,UK,21036,21708,672,7000,0,1,1,0
12210,42,Private,Retail,Male,South East,24600,UK,20570,21194,624,9800,0,1,0,0
13452,15,Unemployed,N/A,Male,West Midlands,0,UK,20859,21743,884,8300,0,1,0,1
20134,20,Public,Military,Male,Northern Ireland,23100,UK,21516,22193,677,8700,0,1,0,0
20889,13,Private,Engineering,Male,Wales,15900,UK,21512,22071,559,9200,0,1,0,0
24778,55,Private,Healthcare,Female,Scotland,11500,UK,21352,21602,250,11200,0,1,0,0
25188,19,Unemployed,N/A,Female,London,0,UK,21271,21778,507,8700,10027,0,0,1
27091,27,Private,Healthcare,Male,London,24000,UK,20964,21396,432,7800,0,0,0,0
34873,48,Private,Engineering,Male,North West,15100,UK,20799,20898,99,13500,0,1,0,0
36870,36,Private,Technology,Male,North West,11000,Other,21628,22395,767,9300,0,1,0,0
37677,48,Private,Engineering,Male,South East,24500,UK,21589,22147,558,13900,0,1,0,0
38697,23,Private,Technology,Female,London,21800,UK,21249,21981,732,10700,8624,0,0,0
39142,26,Private,Engineering,Female,North West,29300,UK,21475,22330,855,6900,0,1,0,0
39625,31,Private,Agriculture,Female,South East,29100,UK,20903,21361,458,12500,0,1,0,0
41017,26,Private,Retail,Male,North West,22100,UK,20960,21145,185,11300,0,1,0,0
41701,30,Private,Engineering,Female,London,41600,UK,21118,21824,706,11800,0,0,0,0
42320,32,Private,Agriculture,Male,South East,30400,UK,20968,21258,290,8000,0,1,0,0
42991,25,Private,Finance,Male,London,23600,UK,20686,21262,576,10500,0,0,0,0
43216,36,Private,Retail,Female,London,19300,UK,20979,21891,912,8800,0,0,0,0
47760,8,Public,Law Enforcement,Male,South East,26100,UK,20603,21194,591,12900,0,1,0,0
50957,33,Private,Engineering,Female,Midlands,15700,UK,20984,21789,805,9000,0,1,0,0
57217,28,Private,Healthcare,Female,South East,29500,UK,21537,22303,766,11200,0,1,0,0
57761,31,Private,Law,Female,West Midlands,23700,UK,20846,21148,302,13300,0,1,0,0
60647,44,Private,Healthcare,Male,Scotland,42400,UK,21051,21422,371,9700,0,1,0,0
63694,53,Public,Military,Male,West Midlands,21400,UK,21458,22157,699,9300,0,1,0,0
64387,31,Private,Retail,Male,London,25100,UK,20880,21173,293,13000,0,0,0,0
