S.No,Headline,Source,Link,Category,Timestamp
1,'If Operation Sindoor was ongoing ... ': Congress slams PM Modi's post after India's Asia Cup win; row over playing match,TOI,https://timesofindia.indiatimes.com/india/if-operation-sindoor-was-ongoing-congress-slams-pm-modis-post-after-indias-asia-cup-win-row-over-playing-match/articleshow/124204122.cms,India,2025-09-29T10:30:49+05:30
2,Karur stampede: Rahul Gandhi dials Vijay; offers condolences after 41 declared dead,TOI,https://timesofindia.indiatimes.com/india/karur-stampede-rahul-gandhi-dials-vijay-offers-condolences-after-41-declared-dead/articleshow/124205052.cms,India,2025-09-29T10:24:38+05:30
3,HIV jab for 115 nations rests on Indian regulators,TOI,https://timesofindia.indiatimes.com/india/hiv-jab-for-115-nations-rests-on-indian-regulators/articleshow/124199149.cms,India,2025-09-29T05:17:52+05:30
4,Illegal betting: ED may attach assets of celebs,TOI,https://timesofindia.indiatimes.com/india/illegal-betting-ed-may-attach-assets-of-celebs/articleshow/124202344.cms,India,2025-09-29T04:19:59+05:30
5,"Cancer cases in India up by 26%, deaths 21% since 1990",TOI,https://timesofindia.indiatimes.com/india/cancer-cases-in-india-up-by-26-deaths-21-since-1990/articleshow/124202330.cms,India,2025-09-29T04:12:26+05:30
6,Man roped in teen son to kill property dealer over 9-yr feud,TOI,https://timesofindia.indiatimes.com/india/man-roped-in-teen-son-to-kill-property-dealer-over-9-yr-feud/articleshow/124202245.cms,India,2025-09-29T04:02:01+05:30
7,"EC to deploy 470 officers for Bihar election, bypolls",TOI,https://timesofindia.indiatimes.com/india/ec-to-deploy-470-officers-for-bihar-election-bypolls/articleshow/124202098.cms,India,2025-09-29T03:55:22+05:30
8,UAE remains top destination for Indians' outbound travel,TOI,https://timesofindia.indiatimes.com/india/uae-remains-top-destination-for-indians-outbound-travel/articleshow/124201525.cms,India,2025-09-29T03:44:23+05:30
9,India's strained ties with US won't hit our relations: Russia,TOI,https://timesofindia.indiatimes.com/india/indias-strained-ties-with-us-wont-hit-our-relations-russia/articleshow/124200934.cms,India,2025-09-29T03:37:42+05:30
10,Govt trying to get Chhath Puja on Unesco list: PM Modi before Bihar polls,TOI,https://timesofindia.indiatimes.com/india/people-can-witness-chhath-divinity-if-it-gets-unesco-tag-pm-modi/articleshow/124200585.cms,India,2025-09-29T03:26:14+05:30
11,"Spirit of 'nation first' paramount for RSS volunteers, says PM Modi",TOI,https://timesofindia.indiatimes.com/india/spirit-of-nation-first-paramount-for-rss-volunteers-says-pm-modi/articleshow/124200571.cms,India,2025-09-29T03:16:23+05:30
12,Congress writes to home minister over 'death threat' to Rahul Gandhi,TOI,https://timesofindia.indiatimes.com/india/congress-writes-to-home-minister-over-death-threat-to-rahul-gandhi/articleshow/124200459.cms,India,2025-09-29T03:04:40+05:30
13,"Making of tragedy: Vijay's late entry, roadshow & payday rush",TOI,https://timesofindia.indiatimes.com/india/making-of-tragedy-vijays-late-entry-roadshow-payday-rush/articleshow/124200384.cms,India,2025-09-29T02:53:30+05:30
14,"Ladakh's people, traditions under attack, says Rahul Gandhi",TOI,https://timesofindia.indiatimes.com/india/ladakhs-people-traditions-under-attack-says-rahul-gandhi/articleshow/124200374.cms,India,2025-09-29T02:43:13+05:30
15,Rs 355 crore sale marks new high for Indian art market,TOI,https://timesofindia.indiatimes.com/india/rs-355-crore-sale-marks-new-high-for-indian-art-market/articleshow/124200368.cms,India,2025-09-29T02:36:15+05:30
16,PM Modi pays tributes to cultural icons,TOI,https://timesofindia.indiatimes.com/india/pm-modi-pays-tributes-to-cultural-icons/articleshow/124200367.cms,India,2025-09-29T02:35:18+05:30
17,Zubeen was 'Kohinoor of Assamese culture': PM Modi,TOI,https://timesofindia.indiatimes.com/india/zubeen-was-kohinoor-of-assamese-culture-pm-modi/articleshow/124200362.cms,India,2025-09-29T02:31:17+05:30
18,Immigration gets faster with e-arrival cards from October 1,TOI,https://timesofindia.indiatimes.com/india/immigration-gets-faster-with-e-arrival-cards-from-october-1/articleshow/124200355.cms,India,2025-09-29T02:26:49+05:30
19,"Amit Shah rejects Naxals' truce offer, vows menace will end in March",TOI,https://timesofindia.indiatimes.com/india/amit-shah-rejects-naxals-truce-offer-vows-menace-will-end-in-march/articleshow/124200346.cms,India,2025-09-29T02:20:34+05:30
20,"Govt proposes acoustic alert system for EVs, excluding 2- & 3-wheelers, from 2027",TOI,https://timesofindia.indiatimes.com/india/govt-proposes-acoustic-alert-system-for-evs-excluding-2-3-wheelers-from-2027/articleshow/124200222.cms,India,2025-09-29T01:41:43+05:30
21,Vietnam evacuates thousands and shuts airports as Typhoon Bualoi makes landfall,TOI,https://timesofindia.indiatimes.com/world/rest-of-world/vietnam-evacuates-thousands-and-shuts-airports-as-typhoon-bualoi-makes-landfall/articleshow/124204491.cms,World,2025-09-29T09:32:23+05:30
22,At least 19 injured in Peru anti-government protests,TOI,https://timesofindia.indiatimes.com/world/rest-of-world/at-least-19-injured-in-peru-anti-government-protests/articleshow/124204801.cms,World,2025-09-29T09:56:45+05:30
23,PoK facing shutdown? Businesses likely to remain close as locals demand fundamental rights; strike expected to paralyse normal life,TOI,https://timesofindia.indiatimes.com/world/pakistan/pok-facing-shutdown-businesses-likely-to-remain-close-as-locals-demand-fundamental-rights-strike-expected-to-paralyse-normal-life/articleshow/124204475.cms,World,2025-09-29T09:34:07+05:30
24,Bangladesh violence: 3 killed in tribal-Bengali clashes over alleged rape of schoolgirl; legal action promised,TOI,https://timesofindia.indiatimes.com/world/south-asia/bangladesh-violence-3-killed-in-tribal-bengali-clashes-over-alleged-rape-of-schoolgirl-legal-action-promised/articleshow/124203906.cms,World,2025-09-29T09:38:25+05:30
25,"'Set building ablaze, fired shots': How a Michigan church shooting unfolded; shooter a war veteran, avid hunter",TOI,https://timesofindia.indiatimes.com/world/us/set-building-ablaze-fired-shots-how-a-michigan-church-shooting-unfolded-shooter-a-war-veteran-avid-hunter/articleshow/124204184.cms,World,2025-09-29T09:12:06+05:30
