OrderID,OrderDate,CustomerID,ProductID,Quantity,Sales,Discount,Profit,Region,PaymentMode
O1001,2024-01-01,C001,P001,1,250,0.0,40,North,UPI
O1002,2024-01-02,C002,P002,2,400,0.05,80,South,Credit Card
O1003,2024-01-03,C003,P003,3,900,0.1,180,East,COD
O1004,2024-01-04,C004,P004,1,300,0.0,50,West,Net Banking
O1005,2024-01-05,C005,P005,2,500,0.2,100,Central,Debit Card
O1006,2024-01-06,C006,P006,4,1200,0.1,200,North,UPI
O1007,2024-01-07,C007,P007,1,200,0.05,35,South,Credit Card
O1008,2024-01-08,C008,P008,3,650,0.0,120,East,COD
O1009,2024-01-09,C009,P009,2,700,0.0,140,West,Net Banking
O1010,2024-01-10,C010,P010,5,1500,0.15,260,Central,Debit Card
O1011,2024-01-11,C011,P001,1,250,0.0,40,North,UPI
O1012,2024-01-12,C012,P002,2,400,0.05,80,South,Credit Card
O1013,2024-01-13,C013,P003,3,900,0.1,180,East,COD
O1014,2024-01-14,C014,P004,1,300,0.0,50,West,Net Banking
O1015,2024-01-15,C015,P005,2,500,0.2,100,Central,Debit Card
O1016,2024-01-16,C016,P006,4,1200,0.1,200,North,UPI
O1017,2024-01-17,C017,P007,1,200,0.05,35,South,Credit Card
O1018,2024-01-18,C018,P008,3,650,0.0,120,East,COD
O1019,2024-01-19,C019,P009,2,700,0.0,140,West,Net Banking
O1020,2024-01-20,C020,P010,5,1500,0.15,260,Central,Debit Card
O1021,2024-01-21,C001,P001,1,250,0.0,40,North,UPI
O1022,2024-01-22,C002,P002,2,400,0.05,80,South,Credit Card
O1023,2024-01-23,C003,P003,3,900,0.1,180,East,COD
O1024,2024-01-24,C004,P004,1,300,0.0,50,West,Net Banking
O1025,2024-01-25,C005,P005,2,500,0.2,100,Central,Debit Card
O1026,2024-01-26,C006,P006,4,1200,0.1,200,North,UPI
O1027,2024-01-27,C007,P007,1,200,0.05,35,South,Credit Card
O1028,2024-01-28,C008,P008,3,650,0.0,120,East,COD
O1029,2024-01-29,C009,P009,2,700,0.0,140,West,Net Banking
O1030,2024-01-30,C010,P010,5,1500,0.15,260,Central,Debit Card
O1031,2024-01-31,C011,P001,1,250,0.0,40,North,UPI
O1032,2024-02-01,C012,P002,2,400,0.05,80,South,Credit Card
O1033,2024-02-02,C013,P003,3,900,0.1,180,East,COD
O1034,2024-02-03,C014,P004,1,300,0.0,50,West,Net Banking
O1035,2024-02-04,C015,P005,2,500,0.2,100,Central,Debit Card
